Signal;HR
2530_PV;110
14998_TV;114
23625_MV;117
24160_PV;123
31737_TV;120
38337_MV;125
39043_MV;94
40058_TV;96
40798_AV;97
50066_AV;160
50070_MV;89
50078_PV;95
50086_TV;113
50094_PV;80
50343_TV;118
50391_MV;120
50624_AV;97
50641_PV;98
50644_MV;114
50645_TV;110
50647_PV;97
50649_TV;99
61610_AV;82
68482_TV;126
68504_TV;93
68741_MV;72
68752_AV;108
68861_PV;97
68886_MV;126
69141_MV;81
69144_TV;75
69159_PV;99
69174_TV;107
73316_AV;115
74417_PV;134
84716_MV;78
84721_TV;128
84761_TV;103
84768_PV;104
84769_PV;115
84814_AV;97
84823_TV;77
85028_MV;95
85029_TV;105
85033_TV;77
85048_TV;82
85094_AV;71
85109_AV;98
85217_PV;77
85230_PV;102
